ID,Sample,CL,PL,Loai I,Loai II,Loai III,Loai IV,Loai V,Loai VI,Loai VII,Loai,Result
132,TVCA0408,3,3,3,2,3,0,2,2,2,2,0
133,TVCA0508,3,3,2,3,2,0,3,2,2,1,0
134,TVCA0510,4,3,3,3,2,1,3,3,3,2,0
135,TVCA0602,4,2,3,3,3,1,4,3,3,2,0
136,TVCA0603,3,3,3,3,2,1,3,3,2,2,0
137,TVCA0604,3,3,2,3,2,0,3,3,2,2,0
138,TVCA0702,3,3,3,3,2,1,3,3,2,2,0
139,TVCA0703,3,2,3,3,2,2,3,3,2,2,0
140,TVCA0704,4,3,3,3,2,1,3,4,3,2,0
141,TVCA0707,3,2,3,3,3,0,3,3,2,2,0
142,TVCA0708,4,3,3,3,2,0,3,4,3,2,0
143,TVCA0710,4,2,3,3,2,2,4,3,3,2,0
144,TVCA0802,3,2,3,2,3,2,2,3,3,2,0
145,TVCA0904,4,2,3,3,3,1,3,3,3,2,0
146,TVCA0908,4,2,3,3,3,1,3,3,3,2,0
147,TVCA0909,4,3,2,3,2,0,3,3,3,1,0
148,TVCA0910,3,3,3,3,2,1,3,3,2,2,0
149,TVCA1001,4,2,3,3,3,2,3,3,3,2,0
150,TVCA1006,3,3,3,3,2,1,3,2,2,2,0
151,TVCA1008,3,2,3,3,2,2,3,3,2,2,0
152,TVCA1009,4,2,3,3,3,0,3,3,4,1,0
153,TVCB0102,3,3,2,3,3,0,3,3,2,2,0
154,TVCB0103,3,3,2,2,3,0,2,2,2,2,1
155,TVCB0106,3,2,3,3,2,2,3,3,2,2,0
156,TVCB0107,4,3,3,3,2,1,3,3,3,2,0
157,TVCB0108,4,2,3,3,3,1,3,3,3,2,0
158,TVCB0109,3,3,3,3,2,1,3,3,2,2,0
159,TVCB0206,3,3,3,3,2,0,3,3,2,2,0
160,TVCB0210,3,3,2,3,2,1,3,3,2,2,0
161,TVCB0302,3,3,2,3,3,0,3,3,2,2,0
162,TVCB0304,3,3,2,3,3,0,3,3,2,2,0
163,TVCB0305,3,2,2,3,3,1,3,3,2,2,0
164,TVCB0306,4,2,3,3,3,0,3,3,3,2,0
165,TVCB0307,4,2,3,3,2,2,3,3,3,2,0
166,TVCB0309,4,2,3,3,3,2,3,3,2,2,0
167,TVCB0402,3,3,2,3,2,1,3,3,2,2,0
168,TVCB0403,3,3,2,3,2,1,3,3,2,2,0
